Racing,Open World,Driving,Multiplayer,Action,Singleplayer,Adventure,Co-op,Combat Racing,Atmospheric,Third Person,Arcade,Online Co-Op,Sports,First-Person,PvP,Character Customization,Split Screen,Controller,Destruction,,,0.181045838522673
Survival,Zombies,Open World,Multiplayer,Open World Survival Craft,Voxel,Post-apocalyptic,Base Building,Online Co-Op,Exploration,Building,Sandbox,Simulation,FPS,Strategy,Character Customization,Tower Defense,Procedural Generation,Action,Early Access,,,0.159567444126719
Driving,Transportation,Simulation,Open World,Automobile Sim,Realistic,Moddable,Relaxing,Immersive Sim,Exploration,Economy,Management,Atmospheric,Multiplayer,Controller,Family Friendly,Third Person,Adventure,Casual,Indie,,,0.144066351758289
Medieval,Strategy,Open World,RPG,War,Multiplayer,Sandbox,Singleplayer,Action,Simulation,Character Customization,Moddable,Adventure,Horses,Realistic,Third Person,First-Person,Historical,Great Soundtrack,Early Access,,,0.209675075859211
Sandbox,Multiplayer,Funny,Moddable,Building,Mod,Comedy,Co-op,First-Person,Physics,Simulation,Online Co-Op,FPS,Singleplayer,Action,Animation & Modeling,Shooter,Indie,Massively Multiplayer,Adventure,,,0.163908728921928
Action,RPG,Online Co-Op,Hunting,Multiplayer,Character Customization,Action RPG,Co-op,JRPG,Third Person,Singleplayer,PvE,Anime,Fantasy,Nature,3D,Dragons,Atmospheric,Ninja,Story Rich,,,0.186700636961361
Open World,RPG,Adventure,Singleplayer,Fantasy,Character Customization,Dragons,Moddable,Story Rich,Magic,First-Person,Action,Atmospheric,Great Soundtrack,Third Person,Stealth,Classic,Remake,Female Protagonist,Walking Simulator,,,0.0983475726339662
Turn-Based Strategy,Strategy,Turn-Based,Multiplayer,Historical,4X,Addictive,Singleplayer,Hex Grid,Grand Strategy,Replay Value,Co-op,Economy,Tactical,Diplomacy,Moddable,Simulation,Classic,Great Soundtrack,Touch-Friendly,,,0.158835309730092
Open World,Story Rich,Adventure,Western,Action,Multiplayer,Realistic,Shooter,Singleplayer,Atmospheric,Horses,Third-Person Shooter,Beautiful,Mature,Great Soundtrack,Third Person,Sandbox,Gore,First-Person,FPS,,,0.172976086145957
Racing,Open World,Driving,Multiplayer,Automobile Sim,Online Co-Op,Singleplayer,Realistic,Controller,Adventure,Arcade,PvP,Simulation,Exploration,Action,Sports,Great Soundtrack,Atmospheric,First-Person,Funny,,,0.168871638760064
City Builder,Simulation,Building,Management,Strategy,Sandbox,Singleplayer,Moddable,Economy,Resource Management,Mod,Realistic,Replay Value,Casual,Modern,Real-Time with Pause,Family Friendly,Great Soundtrack,Funny,Action,,,0.183501736269892
Football (Soccer),Sports,Multiplayer,Controller,Competitive,Simulation,Local Multiplayer,Singleplayer,Online Co-Op,Local Co-Op,Realistic,PvP,eSports,Family Friendly,Team-Based,Physics,Immersive Sim,Co-op,Cinematic,Sexual Content,,,0.145815279217323
Grand Strategy,Historical,Simulation,Alternate History,Economy,Military,Strategy,Sandbox,Political,Diplomacy,Real-Time with Pause,Moddable,Replay Value,Nonlinear,Singleplayer,Management,Multiplayer,Resource Management,Education,Great Soundtrack,,,0.184255969964321
Simulation,Farming Sim,Co-op,Agriculture,Moddable,Management,Multiplayer,Sandbox,3D,First-Person,Immersive Sim,Economy,Character Customization,Online Co-Op,Open World,Family Friendly,Third Person,Nature,America,Horses,,,0.131938563523999
Survival,Multiplayer,Co-op,Base Building,Open World Survival Craft,Crafting,Adventure,Open World,Horror,Action,Online Co-Op,Exploration,Sandbox,First-Person,Singleplayer,Early Access,RPG,Third Person,Funny,Cute,,,0.143321181298405
Space,Grand Strategy,Strategy,Sci-fi,4X,Exploration,Sandbox,Simulation,Multiplayer,Real-Time with Pause,Moddable,Singleplayer,Diplomacy,Management,Futuristic,Military,Replay Value,Great Soundtrack,Atmospheric,Procedural Generation,,,0.181295281683844
