rank,Steam ID,last Two Weeks,ATH,scoreSum,status_U_Count,Level,Badges,Games,Friends,Groups,Screenshots,Reviews,Cluster
86,76561198038315575,5.77,14.73,0.07,0,14,11,120,0,1,1,16,0
86,76561199234250382,20.12,20.12,0.01,0,4,4,33,3,0,0,6,0
86,76561198020894107,4.45,0.26,0.02,0,19,10,161,104,4,5,34,0
86,76561199033596426,89.55,92.77,0.22,0,6,5,70,0,0,0,23,0
86,76561198288874259,7.37,10.4,0.33,0.12,9,6,89,15,1,0,15,0
86,76561199051820686,11.5,11.5,0.07,0,11,10,116,12,1,0,8,0
86,76561197993150541,53.12,485.64,0.89,0.05,11,4,52,0,0,0,1,0
86,76561198312106312,6.68,20.98,0.1,0.08,35,14,161,48,36,21,61,0
86,76561198096528942,144.38,260.88,0.55,0.09,8,3,26,60,4,0,1,0
86,76561199134541213,10.75,10.75,0.12,0.15,6,5,105,7,0,0,5,0
86,76561198319358339,3.72,16.47,0.03,0,12,6,81,0,0,16,51,0
86,76561199016700910,56.62,56.62,0.18,0,5,2,209,0,0,0,6,0
86,76561198027363934,3.82,11.0,0.08,0.18,13,7,383,8,1,39,10,0
86,76561198366655395,29.12,30.92,0.16,0.06,6,5,65,9,0,0,27,0
86,76561198100094475,21.37,35.3,0.17,0.17,30,43,285,34,3,26,7,0
86,76561199155785010,3.93,6.88,0.04,0,4,4,15,10,1,0,11,0
86,76561198810684106,6.33,12.72,0.2,0.47,7,5,24,124,4,12,17,0
86,76561198126174177,1.83,0.03,0.04,0,19,15,78,23,4,5,14,0
86,76561198077445283,31.92,47.45,0.14,0.27,10,5,95,18,2,12,30,0
86,76561198149412635,8.27,20.22,0.17,0,73,32,171,18,3,0,39,0
86,76561198797779695,14.47,22.57,0.06,0.1,18,5,119,2,0,0,9,0
86,76561198078893981,15.7,22.32,0.12,0.07,9,3,156,1,0,0,4,0
86,76561198094752881,35.2,68.05,0.18,0.21,21,20,172,76,0,169,15,0
86,76561198353229056,25.43,38.55,0.29,0,15,10,22,6,0,2,39,0
86,76561198038552462,2.0,11.05,0.06,0.56,24,23,653,0,4,123,12,0
86,76561198098546963,3.18,22.55,0.16,0.06,14,6,40,59,1,1,3,0
86,76561198058068294,11.58,6.37,0.32,0,97,34,283,162,18,116,12,0
86,76561198230875164,21.8,38.52,0.24,0,36,14,95,50,0,0,16,0
86,76561197982985479,7.75,13.48,0.05,0.25,22,16,680,274,3,0,15,0
86,76561198080089477,6.02,92.1,0.29,0.25,62,66,113,185,1,2,35,0
86,76561199119648589,7.13,24.72,0.13,0.2,5,7,63,8,0,0,9,0
86,76561198367529248,7.02,16.4,0.08,0,22,14,70,66,10,18,13,0
86,76561198376519484,6.12,21.42,0.16,0.47,79,20,233,0,6,0,15,0
86,76561198097455895,1.88,11.5,0.4,0,9,5,58,3,0,0,17,0
86,76561198047238255,30.37,182.05,0.52,0.19,11,5,140,62,0,0,1,0
86,76561198825157337,2.73,11.44,0.09,0,31,35,189,0,22,9,83,0
86,76561198042244575,4.72,58.92,0.29,0.13,61,66,511,0,2,670,50,0
86,76561198047111289,17.33,39.04,1.0,0.46,16,11,268,0,4,0,7,0
86,76561198029059091,42.47,58.97,0.4,0,22,23,365,78,21,110,4,0
86,76561198071195233,6.75,115.48,0.3,0.38,10,6,62,11,18,1,4,0
86,76561198033909112,3.62,42.12,0.28,0,30,21,471,46,0,37,43,0
86,76561198201734379,29.5,82.85,0.31,0.09,6,3,30,21,0,0,2,0
86,76561198045382237,11.32,147.56,0.63,0,10,5,106,138,8,8,17,0
86,76561198024268707,19.75,43.57,1.0,0.07,33,31,294,120,21,203,6,0
86,76561197998074813,23.93,81.13,0.79,0.05,42,78,378,0,12,10,8,0
86,76561199091741055,9.05,82.7,0.27,0.13,9,8,74,11,0,0,18,0
86,76561198979408533,3.82,14.73,0.22,0.57,6,5,15,7,0,1,22,0
86,76561198079791493,1.83,42.81,0.59,0,16,18,184,8,0,0,59,0
86,76561197999955391,5.77,63.5,0.33,0.46,12,8,91,15,0,4,2,0
86,76561198322372126,4.07,61.1,0.75,0,70,49,347,21,3,91,13,0
86,76561198105121548,2.87,43.18,1.0,0,10,8,70,59,0,0,5,0
86,76561198165777656,11.08,77.13,0.18,0.11,6,3,38,0,2,0,2,0
86,76561198044563949,3.8,12.99,0.44,0.14,59,26,253,76,1,49,25,0
86,76561198179946657,8.7,5.63,0.21,0,70,58,0,39,7,1,3,0
86,76561198836051354,6.23,35.78,0.31,0.12,48,13,36,95,0,6,12,0
86,76561197977807620,5.83,58.77,0.38,0.04,12,5,43,128,2,0,1,0
86,76561199122477921,1.62,47.73,0.29,0,6,6,106,0,0,1,11,0
86,76561198020282587,1.65,13.79,0.29,0,13,9,238,99,2,49,14,0
86,76561198433835726,7.35,122.75,0.25,0,11,8,17,7,3,1,4,0
86,76561198444268546,4.85,64.88,0.29,0.38,151,411,268,526,10,140,57,-1
86,76561198242454810,2.1,42.47,0.41,0,33,11,185,11,0,0,31,0
86,76561197961720399,94.1,692.68,0.82,0.32,50,50,918,385,15,749,28,-1
86,76561198993779835,3.53,22.19,0.22,0.05,8,6,278,24,0,0,5,0
86,76561199378396786,24.32,238.45,0.69,0.03,3,4,9,6,0,0,2,0
86,76561197985287357,1.02,76.15,1.0,0.11,14,7,139,17,0,2,8,0
86,76561198834101765,6.68,11.97,0.22,0.14,21,26,48,0,0,29,19,0
